service_id,date,exception_type
16,20130418,1
16,20130422,1
16,20130423,1
16,20130424,1
16,20130425,1
16,20130429,1
16,20130430,1
16,20130501,1
16,20130502,1
16,20130506,1
16,20130507,1
16,20130508,1
16,20130509,1
16,20130513,1
16,20130514,1
16,20130515,1
16,20130516,1
16,20130520,1
16,20130521,1
16,20130522,1
16,20130523,1
16,20130528,1
16,20130529,1
16,20130530,1
16,20130603,1
16,20130604,1
16,20130605,1
16,20130606,1
16,20130610,1
16,20130611,1
16,20130612,1
16,20130613,1
16,20130617,1
16,20130618,1
16,20130619,1
16,20130620,1
16,20130624,1
16,20130625,1
16,20130626,1
16,20130627,1
16,20130701,1
16,20130702,1
16,20130708,1
16,20130709,1
16,20130710,1
16,20130711,1
16,20130715,1
16,20130716,1
16,20130717,1
16,20130718,1
16,20130722,1
16,20130723,1
16,20130724,1
16,20130725,1
16,20130729,1
16,20130730,1
16,20130731,1
16,20130801,1
16,20130805,1
16,20130806,1
16,20130807,1
16,20130808,1
16,20130812,1
16,20130813,1
16,20130814,1
16,20130815,1
16,20130819,1
16,20130820,1
16,20130821,1
16,20130822,1
16,20130826,1
16,20130827,1
16,20130828,1
16,20130829,1
16,20130903,1
16,20130904,1
16,20130905,1
16,20130909,1
16,20130910,1
16,20130911,1
16,20130912,1
16,20130916,1
16,20130917,1
16,20130918,1
16,20130919,1
16,20130923,1
16,20130924,1
16,20130925,1
16,20130926,1
16,20130930,1
17,20130405,1
17,20130412,1
17,20130419,1
17,20130426,1
17,20130503,1
17,20130510,1
17,20130517,1
17,20130524,1
17,20130531,1
17,20130607,1
17,20130614,1
17,20130621,1
17,20130628,1
17,20130705,1
17,20130712,1
17,20130719,1
17,20130726,1
17,20130802,1
17,20130809,1
17,20130816,1
17,20130823,1
17,20130830,1
17,20130906,1
17,20130913,1
17,20130920,1
17,20130927,1
18,20130404,1
18,20130408,1
18,20130409,1
18,20130410,1
18,20130411,1
18,20130415,1
18,20130416,1
18,20130417,1
18,20130418,1
18,20130422,1
18,20130423,1
18,20130424,1
18,20130425,1
18,20130429,1
18,20130430,1
18,20130501,1
18,20130502,1
18,20130506,1
18,20130507,1
18,20130508,1
18,20130509,1
18,20130513,1
18,20130514,1
18,20130515,1
18,20130516,1
18,20130520,1
18,20130521,1
18,20130522,1
18,20130523,1
18,20130528,1
18,20130529,1
18,20130530,1
18,20130603,1
18,20130604,1
18,20130605,1
18,20130606,1
18,20130610,1
18,20130611,1
18,20130612,1
18,20130613,1
18,20130617,1
18,20130618,1
18,20130619,1
18,20130620,1
18,20130624,1
18,20130625,1
18,20130626,1
18,20130627,1
18,20130701,1
18,20130702,1
18,20130703,1
18,20130708,1
18,20130709,1
18,20130710,1
18,20130711,1
18,20130715,1
18,20130716,1
18,20130717,1
18,20130718,1
18,20130722,1
18,20130723,1
18,20130724,1
18,20130725,1
18,20130729,1
18,20130730,1
18,20130731,1
18,20130801,1
18,20130805,1
18,20130806,1
18,20130807,1
18,20130808,1
18,20130812,1
