route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
14,2,3777,"PRINCETON",1,"4149",1219
14,2,3778,"PRINCETON",1,"4151",1220
14,2,3779,"PRINCETON",1,"4153",1221
14,2,3780,"PRINCETON",1,"4155",1222
14,2,3781,"PRINCETON",1,"4157",1223
14,2,3782,"PRINCETON",1,"4159",1224
14,2,3783,"PRINCETON",1,"4161",1225
14,2,3784,"PRINCETON",1,"4163",1226
14,2,3785,"PRINCETON",1,"4165",1227
14,2,3786,"PRINCETON",1,"4167",1228
14,2,3787,"PRINCETON",1,"4169",1229
14,2,3788,"PRINCETON",1,"4171",1230
14,2,3789,"PRINCETON",1,"4173",1231
14,2,3790,"PRINCETON",1,"4175",1232
14,2,3791,"PRINCETON",1,"4177",1233
14,2,3792,"PRINCETON",1,"4179",1234
14,2,3793,"PRINCETON",1,"4181",1235
14,2,3794,"PRINCETON",1,"4183",1236
14,2,3795,"PRINCETON",1,"4101",1237
14,2,3796,"PRINCETON",1,"4103",1238
14,3,3797,"PRINCETON",1,"4279",1239
14,3,3798,"PRINCETON",1,"4201",1240
14,3,3799,"PRINCETON",1,"4219",1241
14,3,3800,"PRINCETON",1,"4221",1242
14,3,3801,"PRINCETON",1,"4223",1243
14,3,3802,"PRINCETON",1,"4225",1244
14,3,3803,"PRINCETON",1,"4227",1245
14,3,3804,"PRINCETON",1,"4229",1246
14,3,3805,"PRINCETON",1,"4231",1247
14,3,3806,"PRINCETON",1,"4233",1248
14,3,3807,"PRINCETON",1,"4235",1249
14,3,3808,"PRINCETON",1,"4237",1250
14,3,3809,"PRINCETON",1,"4241",1251
14,3,3810,"PRINCETON",1,"4243",1252
14,3,3811,"PRINCETON",1,"4245",1253
14,3,3812,"PRINCETON",1,"4247",1254
14,3,3813,"PRINCETON",1,"4253",1255
14,3,3814,"PRINCETON",1,"4255",1256
14,3,3815,"PRINCETON",1,"4257",1257
14,3,3816,"PRINCETON",1,"4259",1258
14,3,3817,"PRINCETON",1,"4261",1259
14,3,3818,"PRINCETON",1,"4263",1260
14,3,3819,"PRINCETON",1,"4265",1261
14,3,3820,"PRINCETON",1,"4267",1262
14,3,3821,"PRINCETON",1,"4269",1263
14,3,3822,"PRINCETON",1,"4271",1264
14,3,3823,"PRINCETON",1,"4273",1265
14,3,3824,"PRINCETON",1,"4275",1266
14,3,3825,"PRINCETON",1,"4277",1267
14,2,3826,"PRINCETON",1,"PRINBUS",1268
15,2,3827,"NEWARK PENN STATION",0,"5412",1269
15,2,3828,"NEWARK PENN STATION",0,"5714",1270
15,2,3829,"NEWARK PENN STATION",0,"5710",1271
15,2,3830,"NEWARK PENN STATION",0,"5718",1272
15,2,3831,"NEWARK PENN STATION",0,"5416",1273
15,2,3832,"NEWARK PENN STATION",0,"5404",1274
15,2,3833,"NEWARK PENN STATION",0,"5454",1275
15,2,3834,"NEWARK PENN STATION",0,"5456",1276
15,2,3835,"NEWARK PENN STATION",0,"5458",1277
15,2,3836,"NEWARK PENN STATION",0,"5422",1278
15,2,3837,"NEWARK PENN STATION",0,"5434",1279
15,2,3838,"NEWARK PENN STATION",0,"5438",1280
15,2,3839,"NEWARK PENN STATION",0,"5432",1281
15,2,3840,"NEWARK PENN STATION",0,"5440",1282
15,2,3841,"NEWARK PENN STATION",0,"5448",1283
15,2,3842,"NEWARK PENN STATION",0,"5450",1284
